Date,Regime_droit_commun,Regime_derogatoire,Inscriptions_hypotheques,pourcentage_droit_commun,pourcentage_regime_derogatoire,pourcentage_inscriptions_hypotheques
2006-05-31,223135634.55988458,109166853.33333333,87631000.0,53.135946761317655,25.99622475478608,20.867828483896265
2006-06-30,243781641.67388168,166297166.66666666,129299745.0,45.19676211893521,30.831253047925944,23.971984833138855
2006-07-31,287117009.0404041,148990000.0,104798333.33333333,53.08082330642265,27.544560633504645,19.374616060072693
2006-08-31,280750963.891342,148050666.66666666,105169850.0,52.57789490891026,27.726324730292966,19.695780360796768
2006-09-30,325017632.0346321,270762508.3333333,120265114.99999999,45.39065507355539,37.813602744171845,16.795742182272747
2006-10-31,293563733.30447334,201062500.0,125580021.66666667,47.33324292547383,32.41865079373571,20.248106280790456
2006-11-30,258288778.00865802,124623500.0,110947568.33333334,52.30001586923842,25.23458850179528,22.465395628966284
2006-12-31,235638324.7907648,154590833.33333334,112043166.66666667,46.914455198965285,30.77829012333744,22.307254677697262
2007-01-31,260461460.88383842,207789166.66666666,114358333.33333333,44.706051291883526,35.66528848980337,19.6286602183131
2007-02-28,263606944.44444448,236855666.66666666,86199166.66666667,44.93337633874222,40.37346144551204,14.693162215745737
2007-03-31,242521009.40259743,158040833.33333334,124862500.0,46.15717043861523,30.07870410236435,23.764125459020413
2007-04-30,231734370.31024534,112185666.66666667,88636000.0,53.57325999419916,25.93552212349649,20.491217882304348
2007-05-31,226506480.71428573,131775333.33333333,84086000.0,51.20320093855274,29.788634965912834,19.008164095534422
2007-06-30,259581771.2842713,144729166.66666666,105635016.66666666,50.903780868097094,28.381275575603958,20.71494355629895
2007-07-31,301360450.93795097,133421000.0,105982658.33333333,55.72863394060198,24.672680326324485,19.598685733073523
2007-08-31,319834065.0,166819833.33333334,108753166.66666667,53.71687435385068,28.017778615598615,18.265347030550714
2007-09-30,299427944.4444445,110947500.0,83723666.66666667,60.60078589720641,22.454503055167514,16.944711047626072
2007-10-31,339841794.3722944,144200376.66666666,99205333.33333333,58.26716648158497,24.723702302311384,17.009131216103633
2007-11-30,252575938.05555555,180544500.0,100699666.66666667,47.31480433600109,33.82122524102906,18.863970422969846
