,date_mutation,valeur_fonciere,code_voie,code_postal,code_com,no_plan,nb_lot,surface_reel_bati,nb_piece_prin,surf_terrain,tt_surf_carez,vente,vente_etat_futur_achev,appartement,dependance,local_indus_com,maison,PE
94,2023-10-13,10000.0,B072,31230.0,363,156,0,0,0,1448,0.0,1,0,0,0,0,0,307.2984985226208
95,2023-11-15,1200.0,B004,31360.0,50,42,0,0,0,2307,0.0,1,0,0,0,0,0,36.87581982271449
96,2023-01-05,213794.0,0520,31000.0,555,412,2,28,1,0,26.22,2,0,1,1,0,0,6569.857519314518
97,2023-05-09,154000.0,0189,31560.0,396,1615,2,42,2,0,41.57,2,0,1,1,0,0,4732.3968772483595
98,2023-09-13,344000.0,6064,31200.0,555,339,4,56,3,0,55.78,2,0,1,1,0,0,10571.068349178156
99,2023-09-20,530000.0,0570,31600.0,395,95,0,92,3,2776,0.0,2,0,0,1,0,1,16286.820421698902
100,2023-04-04,690000.0,1210,31170.0,557,2216,0,110,5,2384,0.0,2,0,0,1,0,1,21203.596398060832
101,2023-03-02,1543400.0,1290,31110.0,42,113,0,160,6,1855,0.0,5,0,1,1,0,0,47428.45026198129
102,2023-04-17,427200.0,4616,31400.0,555,172,2,0,0,0,0.0,2,1,0,0,0,0,13127.791856886359
103,2023-02-06,108720.0,1772,31500.0,555,226,1,33,2,0,32.81,1,0,1,0,0,0,3340.9492759379327
104,2023-09-22,421574.0,0740,31240.0,488,229,2,149,7,775,58.33,3,0,1,1,0,1,12954.905721617532
105,2023-09-22,905175.0,0741,31320.0,113,33,3,100,4,0,90.62,3,0,1,1,0,0,27815.891840021326
106,2023-04-05,806700.0,0015,31150.0,230,244,3,0,0,0,0.0,3,1,0,0,0,0,24789.769875819817
107,2023-04-17,527700.0,4652,31500.0,555,397,2,49,2,0,0.0,2,0,1,1,0,0,16216.141767038698
108,2023-04-05,640036.6,0010,31350.0,531,91,0,300,15,6280,0.0,3,0,0,0,0,1,19668.228617952318
109,2023-06-30,135000.0,0240,31150.0,91,324,0,88,4,569,0.0,1,0,0,0,0,1,4148.52973005538
110,2023-06-27,285000.0,A100,31840.0,541,665,5,31,1,0,0.0,3,0,1,1,0,0,8758.007207894692
111,2023-06-01,709350.0,4540,31500.0,555,378,5,82,5,0,0.0,3,0,1,1,0,0,21798.2189927021
112,2023-07-04,260760.0,5920,31200.0,555,141,1,0,0,0,0.0,1,1,0,0,0,0,8013.11564747586
113,2023-03-23,15100.0,6262,31200.0,555,37,1,0,0,0,0.0,1,0,0,1,0,0,464.02073276915735
114,2023-04-07,360000.0,0160,31380.0,228,1313,0,0,0,1177,0.0,2,0,0,0,0,0,11062.745946814348
115,2023-11-02,1465000.0,6280,31000.0,555,176,7,124,5,0,56.53,5,0,1,1,0,0,45019.230033563945
116,2023-09-06,294701.0,3160,31300.0,555,39,1,70,4,0,92.72,1,0,0,0,0,1,9056.117481311487
117,2023-04-05,243000.0,0026,31130.0,418,86,0,0,0,1118,0.0,1,0,0,1,0,0,7467.353514099684
118,2023-06-30,163500.0,0256,31660.0,66,682,0,45,3,288,0.0,1,0,0,0,0,1,5024.33045084485
119,2023-12-28,4608000.0,1892,31100.0,555,105,0,0,0,7434,0.0,3,0,0,0,0,0,141603.14811922362
120,2023-06-30,425500.0,0252,31820.0,417,188,0,142,5,950,0.0,1,0,0,0,0,1,13075.551112137513
121,2023-04-05,79000.0,0029,31250.0,451,56,0,35,2,32,0.0,1,0,0,0,0,1,2427.658138328704
122,2023-12-26,348560.0,1740,31400.0,555,563,4,50,2,0,50.51,2,0,1,1,0,0,10711.19646450447
123,2023-10-09,366750.0,5789,31200.0,555,183,6,44,2,0,44.36,4,0,1,1,0,0,11270.172433317119
124,2023-04-07,308170.0,0167,31860.0,248,215,0,96,5,603,0.0,1,0,0,0,0,1,9470.017828971604
125,2023-01-27,248000.0,4380,31200.0,555,588,2,56,3,0,0.0,2,0,1,1,0,0,7621.002763360995
126,2023-04-05,440000.0,0030,31150.0,91,252,0,0,0,1003,0.0,2,0,0,0,0,0,13521.133934995312
127,2023-12-19,100000.0,B239,31160.0,140,124,0,0,0,1480,0.0,1,0,0,0,0,0,3072.9849852262073
128,2023-03-15,248355.0,4673,31300.0,555,306,5,20,1,0,21.68,3,0,1,1,0,0,7631.911860058548
129,2023-03-27,238000.0,6612,31500.0,555,23,2,24,1,0,23.16,2,0,1,1,0,0,7313.704264838374
130,2023-04-20,94500.0,B113,31330.0,281,954,0,0,0,75,0.0,1,0,0,0,0,0,2903.9708110387664
131,2023-05-04,398000.0,3664,31400.0,555,359,0,74,4,218,0.0,1,0,0,0,0,1,12230.480241200306
132,2023-12-22,580000.0,1369,31500.0,555,593,2,0,0,0,63.72,2,1,0,0,0,0,17823.312914312006
133,2023-08-07,320300.0,2120,31500.0,555,367,2,34,1,0,0.0,2,0,1,1,0,0,9842.770907679544
134,2023-08-07,255000.0,2124,31200.0,555,2,1,125,4,0,0.0,1,0,0,0,0,1,7836.11171232683
135,2023-04-07,217000.0,0135,31290.0,582,1745,0,82,4,318,0.0,1,0,0,0,0,1,6668.37741794087
136,2023-09-22,110000.0,0790,31340.0,584,1047,0,55,3,0,0.0,1,0,0,0,0,1,3380.283483748828
137,2023-12-28,523800.0,1878,31250.0,451,337,0,91,4,2090,0.0,2,0,0,1,0,1,16096.295352614876
138,2023-06-29,648440.0,6288,31000.0,555,279,4,43,3,0,0.0,2,0,1,1,0,0,19926.46383820082
139,2023-06-07,110000.0,2412,31200.0,555,998,0,0,0,184,0.0,2,0,0,0,0,0,3380.283483748828
140,2023-06-30,130000.0,0235,31660.0,66,582,0,63,3,46,0.0,1,0,0,0,0,1,3994.8804807940696
141,2023-04-05,278000.0,0005,31620.0,211,1050,0,0,0,1797,0.0,2,0,0,0,0,0,8542.898258928855
142,2023-07-26,1.0,B143,31470.0,481,793,0,0,0,9,0.0,1,0,0,0,0,0,0.030729849852262077
143,2023-11-29,160000.0,0864,31120.0,433,44,0,89,5,336,0.0,1,0,0,0,0,1,4916.775976361932
144,2023-04-07,600000.0,0152,31840.0,541,817,3,67,3,0,0.0,3,0,1,1,0,0,18437.909911357245
145,2023-05-30,180000.0,0480,31140.0,467,323,0,160,0,362,0.0,1,0,0,0,1,0,5531.372973407174
146,2023-08-10,317000.0,7260,31100.0,555,19,2,63,3,0,63.55,2,0,1,1,0,0,9741.362403167077
147,2023-09-22,905000.0,0780,31340.0,584,1050,3,83,4,758,0.0,4,0,1,1,0,0,27810.514116297178
148,2023-03-30,122000.0,0790,31270.0,157,155,1,86,4,0,0.0,1,0,1,0,0,0,3749.041681975973
149,2023-06-30,222620.78,2894,31400.0,555,23,2,0,0,0,0.0,2,1,0,0,0,0,6841.103143393468
150,2023-08-28,1095000.0,7152,31200.0,555,372,5,84,5,0,102.19,3,0,1,1,0,0,33649.185588226974
151,2023-09-07,574000.0,4524,31300.0,555,492,4,95,5,0,0.0,2,0,1,1,0,0,17638.93381519843
152,2023-04-14,261800.0,3044,31200.0,555,18,2,60,2,0,61.27,2,0,1,1,0,0,8045.074691322212
153,2023-03-08,253000.0,1772,31500.0,555,25,2,34,1,0,0.0,2,0,1,1,0,0,7774.652012622305
154,2023-10-13,660200.0,B023,31260.0,59,21,0,114,3,2630,0.0,4,0,0,1,0,1,20287.846872463422
155,2023-06-01,75000.0,4586,31400.0,555,30,1,26,2,0,26.16,1,0,1,0,0,0,2304.7387389196556
