Saison;Compagnie Operating;Numéro de vol;Compagnie Marketing;Numéro de vol Marketing;Aéroport de départ;Aéroport d'arrivée;Jour de départ en Local;Jour d'arrivée  en Local;Heure de départ en Local;Heure d'arrivée en Local;Date de début de période;Date de fin  de période;Compagnie propriétaire;Type Avion
W19;Transportes Aereos De Xalapa;14;Sham Wing Airlines;7965;Sir Seewoosagur Ramgoolam International Airport;Charles de Gaulle International Airport;5;6;22:50;07:35;;;Transportes Aereos De Xalapa;Airbus A350
W19;Transportes Aereos De Xalapa;14;Sham Wing Airlines;7965;Sir Seewoosagur Ramgoolam International Airport;Charles de Gaulle International Airport;3;4;22:50;07:35;;;Transportes Aereos De Xalapa;Airbus A350
W19;Transportes Aereos De Xalapa;14;Sham Wing Airlines;7965;Sir Seewoosagur Ramgoolam International Airport;Charles de Gaulle International Airport;7;1;22:50;07:35;;;Transportes Aereos De Xalapa;Airbus A350
W19;Transportes Aereos De Xalapa;14;Sham Wing Airlines;7965;Sir Seewoosagur Ramgoolam International Airport;Charles de Gaulle International Airport;1;2;22:50;07:35;;;Transportes Aereos De Xalapa;Airbus A350
W19;Transportes Aereos De Xalapa;14;Sham Wing Airlines;7965;Sir Seewoosagur Ramgoolam International Airport;Charles de Gaulle International Airport;6;7;22:50;07:35;;;Transportes Aereos De Xalapa;Airbus A350
W19;Transportes Aereos De Xalapa;14;Sham Wing Airlines;7965;Sir Seewoosagur Ramgoolam International Airport;Charles de Gaulle International Airport;2;3;22:50;07:35;;;Transportes Aereos De Xalapa;Airbus A350
W19;Transportes Aereos De Xalapa;14;Sham Wing Airlines;7965;Sir Seewoosagur Ramgoolam International Airport;Charles de Gaulle International Airport;4;5;22:50;07:35;;;Transportes Aereos De Xalapa;Airbus A350
W19;Transportes Aereos De Xalapa;15;Sham Wing Airlines;7964;Charles de Gaulle International Airport;Sir Seewoosagur Ramgoolam International Airport;6;7;16:20;06:30;;;Transportes Aereos De Xalapa;Airbus A350
W19;Transportes Aereos De Xalapa;15;Sham Wing Airlines;7964;Charles de Gaulle International Airport;Sir Seewoosagur Ramgoolam International Airport;7;1;16:20;06:30;;;Transportes Aereos De Xalapa;Airbus A350
W19;Transportes Aereos De Xalapa;15;Sham Wing Airlines;7964;Charles de Gaulle International Airport;Sir Seewoosagur Ramgoolam International Airport;3;4;16:20;06:30;;;Transportes Aereos De Xalapa;Airbus A350
W19;Transportes Aereos De Xalapa;15;Sham Wing Airlines;7964;Charles de Gaulle International Airport;Sir Seewoosagur Ramgoolam International Airport;5;6;16:20;06:30;;;Transportes Aereos De Xalapa;Airbus A350
W19;Transportes Aereos De Xalapa;15;Sham Wing Airlines;7964;Charles de Gaulle International Airport;Sir Seewoosagur Ramgoolam International Airport;1;2;16:20;06:30;;;Transportes Aereos De Xalapa;Airbus A350
W19;Transportes Aereos De Xalapa;15;Sham Wing Airlines;7964;Charles de Gaulle International Airport;Sir Seewoosagur Ramgoolam International Airport;2;3;16:20;06:30;;;Transportes Aereos De Xalapa;Airbus A350
W19;Transportes Aereos De Xalapa;15;Sham Wing Airlines;7964;Charles de Gaulle International Airport;Sir Seewoosagur Ramgoolam International Airport;4;5;16:20;06:30;;;Transportes Aereos De Xalapa;Airbus A350
W19;Air 26;18;Sham Wing Airlines;5096;Charles de Gaulle International Airport;Noi Bai International Airport;2;3;13:10;06:10;;;Air 26;Airbus A350
W19;Air 26;18;Sham Wing Airlines;5096;Charles de Gaulle International Airport;Noi Bai International Airport;5;6;13:10;06:10;;;Air 26;Airbus A350
W19;Air 26;18;Sham Wing Airlines;5096;Charles de Gaulle International Airport;Noi Bai International Airport;1;2;13:10;06:10;;;Air 26;Airbus A350
W19;Air 26;18;Sham Wing Airlines;5096;Charles de Gaulle International Airport;Noi Bai International Airport;4;5;13:10;06:10;;;Air 26;Airbus A350
W19;Air 26;18;Sham Wing Airlines;5096;Charles de Gaulle International Airport;Noi Bai International Airport;7;1;13:10;06:10;;;Air 26;Airbus A350
