Index,date_mutation,valeur_fonciere,num_voie,type_voie,code_voie,voie,code_postal,commune,code_dep,code_com,no_plan,no_vol,nb_lot,code_typ_local,surface_reel_bati,nb_piece_prin,surf_terrain,tt_surf_carez,vente,vente_etat_futur_achev,appartement,dependance,local_indus_com,maison
1346603,04/07/2022,1066500.0,2,ALL,0498,NYMPHEAS,31240,L UNION,31,561,179,,3,3,86,4,0,0.0,3,0,1,1,0,0
1373306,02/12/2022,666600.0,,,,,,TOULOUSE,31,555,254,,2,,0,0,0,0.0,2,1,0,0,0,0
1401870,13/07/2022,832200.0,,,B020,LE BOURGUET,31230,L ISLE-EN-DODON,31,239,341,1,0,,0,0,111,0.0,3,0,0,0,0,0
1335941,24/05/2022,357660.0,17,AV,5789,MAURICE BOURGES-MAUNOURY,31200,TOULOUSE,31,555,446,,2,2,66,3,0,0.0,2,0,1,1,0,0
1348888,13/07/2022,451288.0,,,B021,FAYARD,31450,DEYME,31,161,615,,0,,0,0,177,0.0,1,0,0,0,0,0
1350756,25/07/2022,545670.0,37,AV,0670,DE GAMEVILLE,31650,ST ORENS DE GAMEVILLE,31,506,21,,2,,0,0,0,0.0,2,1,0,0,0,0
1397901,13/07/2022,320000.0,,,B023,TRESTEIL,31110,POUBEAU,31,434,236,,0,,0,0,5503,0.0,4,0,0,0,0,0
1367015,14/10/2022,618000.0,34,AV,5116,DE LAVAUR,31500,TOULOUSE,31,555,292,,2,3,59,3,0,0.0,2,1,1,1,0,0
1370495,08/11/2022,372000.0,51,RUE,1308,DES BOUCHES DU RHONE,31500,TOULOUSE,31,555,23,,0,1,68,4,163,0.0,1,0,0,0,0,1
1403912,21/10/2022,1000.0,,,B101,LA TUILERIE,31190,MIREMONT,31,345,102,,0,,0,0,624,0.0,1,0,0,0,0,0
1374761,08/12/2022,125000.0,1,AV,0690,DE TOULOUSE,31620,CASTELNAU D ESTRETEFONDS,31,118,85,,5,4,90,0,0,0.0,1,0,0,0,1,0
1340956,13/06/2022,1795000.0,22,AV,1976,DU CHATEAU D EAU,31300,TOULOUSE,31,555,506,,5,3,151,7,0,83.79,5,0,1,1,0,0
1379932,22/12/2022,191600.0,8,RUE,4657,JEAN SEGUY,31200,TOULOUSE,31,555,181,,2,2,30,1,0,0.0,2,0,1,1,0,0
1381695,28/09/2022,250000.0,1,ALL,0110,DE L AUVERGNE,31770,COLOMIERS,31,149,257,,4,3,57,3,0,0.0,2,0,1,1,0,0
1335522,06/05/2022,12000.0,66,AV,0970,DE TOULOUSE,31320,CASTANET TOLOSAN,31,113,167,,1,3,0,0,0,0.0,1,0,0,1,0,0
1399129,18/07/2022,99000.0,,,B011,VILLAGE OUEST,31190,LABRUYERE DORSA,31,256,224,,0,,0,0,793,0.0,1,0,0,0,0,0
1337445,31/05/2022,175000.0,82,AV,7772,DE SAINT EXUPERY,31400,TOULOUSE,31,555,137,,1,3,0,0,0,0.0,1,0,0,1,0,0
1346745,18/07/2022,356000.0,,,B014,BRANA D EN NAOUT,31840,AUSSONNE,31,32,200,,0,,0,0,530,0.0,1,0,0,0,0,0
1349360,18/07/2022,460000.0,1,HAM,X003,DE LA CROIX DE PUEL,31560,CALMONT,31,100,576,,0,1,192,8,1628,0.0,2,0,0,0,0,1
1394736,17/06/2022,1897280.0,12,CLOS,0160,DE JULES,31470,FONTENILLES,31,188,40,,0,1,556,22,4924,0.0,6,0,0,1,0,1
