index,date_mutation,valeur_fonciere,num_voie,type_voie,code_voie,voie,code_postal,commune,code_dep,code_com,no_plan,no_vol,nb_lot,code_typ_local,surface_reel_bati,nb_piece_prin,surf_terrain,tt_surf_carez,vente,vente_etat_futur_achev,appartement,dependance,local_indus_com,maison
09/02/2023,09/02/2023,1500000.0,,,B003,BORDENEUVE,31320,VIGOULET AUZIL,31,578,173,,0,,579,2,5503,0.0,3,0,0,0,1,1
10/11/2023,10/11/2023,444000.0,49,CHE,1065,DES RAMASSIERS,31770,COLOMIERS,31,149,432,,2,,0,0,0,0.0,2,1,0,0,0,0
03/07/2023,03/07/2023,241340.0,124,AV,3940,DE LA GLOIRE,31500,TOULOUSE,31,555,222,,4,2,70,3,0,0.0,2,0,1,1,0,0
20/05/2023,20/05/2023,275000.0,12,AV,0210,DES PYRENEES,31860,PINS JUSTARET,31,421,71,,0,1,90,4,575,0.0,1,0,0,0,0,1
19/04/2023,19/04/2023,637680.0,19,RUE,2884,EDMOND GUYAUX,31200,TOULOUSE,31,555,209,,5,2,65,4,0,64.21,3,0,1,1,0,0
08/06/2023,08/06/2023,225230.0,5,RUE,6787,DU PETIT CASTELET,31200,TOULOUSE,31,555,347,,2,2,34,2,0,0.0,2,0,1,1,0,0
09/02/2023,09/02/2023,798000.0,,,B001,LES ARGOTS,31470,EMPEAUX,31,166,442,,0,,123,6,1574,0.0,3,0,0,0,0,1
30/06/2023,30/06/2023,565250.0,29,RUE,7140,DU PRINTEMPS,31000,TOULOUSE,31,555,193,,0,1,77,5,47,0.0,1,0,0,0,0,1
09/02/2023,09/02/2023,900000.0,,,B008,LE CHATEAU,31320,VIGOULET AUZIL,31,578,435,,0,,0,0,783,0.0,3,0,0,0,0,0
09/02/2023,09/02/2023,1953000.0,,,B009,LES BARIERES,31590,VERFEIL,31,573,138,,0,,0,0,148046,0.0,14,0,0,0,0,0
02/10/2023,02/10/2023,363702.0,28,BD,5708,DE LA MARNE,31400,TOULOUSE,31,555,283,,2,2,52,2,0,26.49,2,0,1,0,0,0
14/04/2023,14/04/2023,6094560.0,31,CHE,0110,DE CASTELVIEL,31180,CASTELMAUROU,31,117,73,,0,3,342,14,7488,0.0,15,0,1,1,0,1
09/03/2023,09/03/2023,630000.0,76,AV,4652,JEAN RIEUX,31500,TOULOUSE,31,555,633,,5,3,70,3,0,0.0,3,0,1,1,0,0
07/09/2023,07/09/2023,402000.0,180,ALL,0324,DU PUYMORENS,31330,MERVILLE,31,341,1959,,3,3,62,3,0,62.71,3,0,1,1,0,0
26/10/2023,26/10/2023,1000000.0,2,CHE,7612,ROQUES,31200,TOULOUSE,31,555,172,,0,1,92,4,840,0.0,2,0,0,1,0,1
14/04/2023,14/04/2023,525000.0,35,RUE,0172,ALFRED DE MUSSET,31200,TOULOUSE,31,555,548,,5,3,66,4,0,0.0,3,0,1,1,0,0
31/08/2023,31/08/2023,830000.0,46,RUE,4560,JEAN DE PINS,31300,TOULOUSE,31,555,46,,4,2,110,7,0,68.77,4,0,1,1,0,0
09/02/2023,09/02/2023,2600000.0,,,B031,CROZE,31530,THIL,31,553,341,,0,,135,4,13727,0.0,4,0,0,1,0,1
10/07/2023,10/07/2023,220000.0,49,RUE,5920,MICHEL ANGE,31200,TOULOUSE,31,555,71,,2,2,46,2,0,0.0,2,0,1,1,0,0
28/11/2023,28/11/2023,207000.0,35,RUE,0043,EDGAR QUINET,31290,VILLEFRANCHE-DE-LAURAGAIS,31,582,598,,0,1,65,3,144,0.0,1,0,0,0,0,1
15/06/2023,15/06/2023,383520.0,82,RTE,6196,DE NARBONNE,31400,TOULOUSE,31,555,394,,2,,0,0,0,0.0,2,1,0,0,0,0
28/11/2023,28/11/2023,9.0,9,IMP,0046,BARCOUDA,31620,LABASTIDE ST SERNIN,31,252,1735,,0,,0,0,992,0.0,9,0,0,0,0,0
27/09/2023,27/09/2023,418000.0,2,RUE,1411,DU DOCTEUR MADELEINE BRES,31400,TOULOUSE,31,555,203,,2,,0,0,0,80.0,2,1,0,0,0,0
28/02/2023,28/02/2023,646000.0,,,B047,CAMPANO,31400,TOULOUSE,31,555,267,,2,,0,0,0,0.0,2,1,0,0,0,0
